Year_Month,ewp_rank_1,ewp_rank_2,ewp_rank_3,ls
2001-03,-0.014178470164201812,-0.028506179691748273,-0.15609772272449812,-0.1419192525602963
2001-04,0.050622711356986594,0.04037509673093974,0.31785238682875067,0.26722967547176407
2001-05,0.020596987887629967,0.06633205659630685,0.04084149845448844,0.02024451056685847
2001-06,-0.014165576379997517,-0.02838101115069688,0.10724875252108897,0.12141432890108649
2001-07,-0.025428402212351292,0.027469884882409323,-0.0751635234399976,-0.04973512122764631
2001-08,0.002478532983933493,-0.04510109841239577,-0.10075600532501433,-0.10323453830894783
2001-10,0.0017552551414746714,0.04895778134374875,0.21160701668924958,0.2098517615477749
2001-11,0.04676988676452894,0.06203709292509675,0.23768317856669893,0.19091329180216998
2001-12,0.02465209736541234,0.04754036644568555,0.09292609543599505,0.06827399807058271
2002-01,0.020729927547978425,0.02069844987751727,-0.05284690111637329,-0.07357682866435171
2002-02,0.017816813198133285,-0.006630497257272991,-0.10397876422854986,-0.12179557742668315
2002-03,0.06801496872815646,0.06930670818621049,0.0986260019999539,0.03061103327179744
2002-04,0.006751502139024726,-0.0200843700626683,-0.08191213656316451,-0.08866363870218924
2002-05,0.005593096244289664,-0.012732593284776146,-0.06486769361217064,-0.0704607898564603
2002-06,-0.01804022135448116,-0.05426541614750125,-0.12113433762384358,-0.10309411626936242
2002-07,-0.0694817973739331,-0.10321350628853886,-0.06615275521684799,0.003329042157085113
2002-08,0.009680929972191258,0.017117053447478593,-0.019477053887360648,-0.029157983859551907
2002-09,-0.07205466441021936,-0.03970894022736122,-0.09954203153057961,-0.027487367120360248
2002-10,0.020422996999710265,0.08800341336067627,0.05923303876841656,0.038810041768706297
2002-11,0.018907199033198086,0.06896167454268318,0.24872554577355643,0.22981834674035834
2002-12,0.014259434864421104,-0.044717772715449626,-0.12739776968500463,-0.14165720454942574
2003-01,-0.029167703115149008,-0.01318196318985086,-0.0070994153017826305,0.022068287813366377
2003-02,-0.005508581653887872,-0.013985891135158563,-0.018247382695699203,-0.01273880104181133
2003-03,0.02380862586196306,0.023226524607715734,0.09360300374647111,0.06979437788450805
2003-04,0.05636650439193836,0.05341244019690015,0.09908079370313223,0.04271428931119387
2003-05,0.08048935673001899,0.05869503514220416,0.35828396814232627,0.27779461141230727
2003-06,0.015747538310507212,0.01397027273629156,-0.015152181385995254,-0.030899719696502466
2003-07,0.013758646989431933,0.05256644768117494,0.13154303739936837,0.11778439040993643
2003-08,0.02908868948248719,0.05122246144216694,0.06016790721608621,0.03107921773359902
2003-09,0.0012045515631963983,0.005063895397249007,-0.012137417385869901,-0.0133419689490663
2003-10,0.03189020566468687,0.05596868803053498,0.11093702917360215,0.07904682350891529
2003-11,0.02130533060434361,0.023995997738273087,-0.004187572697622131,-0.02549290330196574
2003-12,0.05174737268675172,0.03682552019148061,0.04917785547337434,-0.0025695172133773786
2004-01,0.001084447617692412,-0.015958283603620557,0.05731940081855241,0.05623495320086
2004-02,0.01578432126314804,0.057965158426063444,0.0018656299658064194,-0.013918691297341619
2004-03,0.006348712784504387,-0.0023097828935087846,0.03978457418882555,0.033435861404321164
2004-04,-0.021963742273810975,0.013760023126476107,-0.06944436138498172,-0.04748061911117075
2004-05,0.018343913683014915,0.01705497915495975,0.09037625679568709,0.07203234311267218
2004-06,0.04510190188702364,0.054897829489705494,0.042177699523671626,-0.002924202363352016
2004-07,-0.021417360405582352,-0.014259656165190064,-0.07976277104713184,-0.05834541064154948
2004-08,0.013232587546451754,0.006164944089511692,-0.009196282332956367,-0.02242886987940812
2004-09,0.02345289841863466,0.04934361291114653,0.044324132503171326,0.020871234084536665
2004-10,0.02101880442213454,0.03290139257210649,0.03029740528237812,0.00927860086024358
2004-11,0.03694979285828074,0.07534806903770228,0.11485257906391474,0.07790278620563401
2004-12,0.03782163570663995,0.027041919691914027,0.07379094301233131,0.03596930730569137
2005-01,-0.01034882155706532,-0.03576308223921502,-0.021886273524678486,-0.011537451967613166
2005-02,0.015343353562390772,0.058881202409200216,0.01719684847566652,0.001853494913275749
2005-03,-0.004080997381511446,0.001301174148378169,-0.03234431609563264,-0.028263318714121192
2005-04,-0.01502533273370523,-0.04932133412042927,0.003645406617032204,0.018670739350737434
2005-05,0.05840409499783537,0.04726801414782544,0.1343071837524228,0.07590308875458743
2005-06,0.029425159502388148,0.015939571658879267,0.054848960099430875,0.025423800597042728
2005-07,0.05723161923358181,0.0517575961128163,0.11205650085953034,0.05482488162594853
2005-08,-0.021473977768577304,-0.017209153307510553,0.01685076661123276,0.038324744379810066
2005-09,0.017978526043308258,0.006284549071876003,0.07818744132102255,0.0602089152777143
2005-10,0.004146269534373114,-0.019466972420980267,0.018909236811333902,0.01476296727696079
2005-11,0.05212125223705722,0.07686399557999665,0.08325719507383851,0.03113594283678129
2005-12,-0.004108320510523673,0.007123525413008571,0.035417521784975675,0.039525842295499346
2006-01,0.04521469953789817,0.010344740849235742,0.12939477194540527,0.0841800724075071
2006-02,0.0018323739366791953,0.02487594404465778,-0.025677973361030504,-0.027510347297709698
2006-03,0.011548043370729734,0.02779988307126115,0.053281703123286,0.04173365975255627
2006-04,-0.004671663654228345,0.019387566704543335,0.026634948627615573,0.03130661228184392
2006-05,-0.013143253142984979,-0.019913990946234802,-0.04537494461655456,-0.03223169147356958
2006-06,0.019478810994430527,0.024229513471056806,0.023080485161497553,0.003601674167067026
2006-07,0.02073319769260637,-0.029148439971897446,-0.0442452138766129,-0.06497841156921927
2006-08,0.03078517316454515,0.06912613777180336,-0.002052692734239378,-0.03283786589878453
